ID_Auto,IMEI,MeterId,Socongto,Outstation,STARTTIME,ENDTIME,IMPORTKW,EXPORTKW,TOTALKVA
66776710,3531960426570140,163,20007766,001,2023-02-25 02:30:00.000,2023-02-25 03:00:00.000,0.103440,0.000000,0.000000
66776711,3531960426570140,163,20007766,001,2023-02-25 03:00:00.000,2023-02-25 03:30:00.000,0.103760,0.000000,0.000000
66776712,3531960426570140,163,20007766,001,2023-02-25 03:30:00.000,2023-02-25 04:00:00.000,0.102800,0.000000,0.000000
66776713,3531960426570140,163,20007766,001,2023-02-25 04:00:00.000,2023-02-25 04:30:00.000,0.121040,0.000000,0.000000
66776714,3531960426570140,163,20007766,001,2023-02-25 04:30:00.000,2023-02-25 05:00:00.000,0.117120,0.000000,0.000000
66776715,3531960426570140,163,20007766,001,2023-02-25 05:00:00.000,2023-02-25 05:30:00.000,0.156560,0.000000,0.000000
66776716,3531960426570140,163,20007766,001,2023-02-25 05:30:00.000,2023-02-25 06:00:00.000,0.164800,0.000000,0.000000
66776717,3531960426570140,163,20007766,001,2023-02-25 06:00:00.000,2023-02-25 06:30:00.000,0.182480,0.000000,0.000000
66776718,3531960426570140,163,20007766,001,2023-02-25 06:30:00.000,2023-02-25 07:00:00.000,0.222000,0.000000,0.000000
66776719,3531960426570140,163,20007766,001,2023-02-25 07:00:00.000,2023-02-25 07:30:00.000,0.206880,0.000000,0.000000
66776720,3531960426570140,163,20007766,001,2023-02-25 07:30:00.000,2023-02-25 08:00:00.000,0.222160,0.000000,0.000000
66776722,3531960426570140,163,20007766,001,2023-02-25 08:00:00.000,2023-02-25 08:30:00.000,0.218240,0.000000,0.000000
66776723,3531960426570140,163,20007766,001,2023-02-25 08:30:00.000,2023-02-25 09:00:00.000,0.208720,0.000000,0.000000
66776724,3531960426570140,163,20007766,001,2023-02-25 09:00:00.000,2023-02-25 09:30:00.000,0.208800,0.000000,0.000000
66776725,3531960426570140,163,20007766,001,2023-02-25 09:30:00.000,2023-02-25 10:00:00.000,0.208320,0.000000,0.000000
66776726,3531960426570140,163,20007766,001,2023-02-25 10:00:00.000,2023-02-25 10:30:00.000,0.238720,0.000000,0.000000
66776727,3531960426570140,163,20007766,001,2023-02-25 10:30:00.000,2023-02-25 11:00:00.000,0.219760,0.000000,0.000000
66776728,3531960426570140,163,20007766,001,2023-02-25 11:00:00.000,2023-02-25 11:30:00.000,0.220720,0.000000,0.000000
66776729,3531960426570140,163,20007766,001,2023-02-25 11:30:00.000,2023-02-25 12:00:00.000,0.225120,0.000000,0.000000
66776730,3531960426570140,163,20007766,001,2023-02-25 12:00:00.000,2023-02-25 12:30:00.000,0.226160,0.000000,0.000000
66776732,3531960426570140,163,20007766,001,2023-02-25 12:30:00.000,2023-02-25 13:00:00.000,0.219920,0.000000,0.000000
66776734,3531960426570140,163,20007766,001,2023-02-25 13:00:00.000,2023-02-25 13:30:00.000,0.226160,0.000000,0.000000
66776735,3531960426570140,163,20007766,001,2023-02-25 13:30:00.000,2023-02-25 14:00:00.000,0.218880,0.000000,0.000000
66776736,3531960426570140,163,20007766,001,2023-02-25 14:00:00.000,2023-02-25 14:30:00.000,0.215120,0.000000,0.000000
66776737,3531960426570140,163,20007766,001,2023-02-25 14:30:00.000,2023-02-25 15:00:00.000,0.211680,0.000000,0.000000
66776738,3531960426570140,163,20007766,001,2023-02-25 15:00:00.000,2023-02-25 15:30:00.000,0.182160,0.000000,0.000000
66776739,3531960426570140,163,20007766,001,2023-02-25 15:30:00.000,2023-02-25 16:00:00.000,0.174000,0.000000,0.000000
66776740,3531960426570140,163,20007766,001,2023-02-25 16:00:00.000,2023-02-25 16:30:00.000,0.200480,0.000000,0.000000
66776741,3531960426570140,163,20007766,001,2023-02-25 16:30:00.000,2023-02-25 17:00:00.000,0.195440,0.000000,0.000000
66776742,3531960426570140,163,20007766,001,2023-02-25 17:00:00.000,2023-02-25 17:30:00.000,0.168000,0.000000,0.000000
66776743,3531960426570140,163,20007766,001,2023-02-25 17:30:00.000,2023-02-25 18:00:00.000,0.176240,0.000000,0.000000
66776744,3531960426570140,163,20007766,001,2023-02-25 18:00:00.000,2023-02-25 18:30:00.000,0.173760,0.000000,0.000000
66776745,3531960426570140,163,20007766,001,2023-02-25 18:30:00.000,2023-02-25 19:00:00.000,0.177600,0.000000,0.000000
66776746,3531960426570140,163,20007766,001,2023-02-25 19:00:00.000,2023-02-25 19:30:00.000,0.168800,0.000000,0.000000
66776747,3531960426570140,163,20007766,001,2023-02-25 19:30:00.000,2023-02-25 20:00:00.000,0.168880,0.000000,0.000000
66776748,3531960426570140,163,20007766,001,2023-02-25 20:00:00.000,2023-02-25 20:30:00.000,0.166800,0.000000,0.000000
66776749,3531960426570140,163,20007766,001,2023-02-25 20:30:00.000,2023-02-25 21:00:00.000,0.152160,0.000000,0.000000
66776751,3531960426570140,163,20007766,001,2023-02-25 21:00:00.000,2023-02-25 21:30:00.000,0.146800,0.000000,0.000000
66776752,3531960426570140,163,20007766,001,2023-02-25 21:30:00.000,2023-02-25 22:00:00.000,0.146320,0.000000,0.000000
66776753,3531960426570140,163,20007766,001,2023-02-25 22:00:00.000,2023-02-25 22:30:00.000,0.131120,0.000000,0.000000
66776754,3531960426570140,163,20007766,001,2023-02-25 22:30:00.000,2023-02-25 23:00:00.000,0.121120,0.000000,0.000000
66776755,3531960426570140,163,20007766,001,2023-02-25 23:00:00.000,2023-02-25 23:30:00.000,0.120560,0.000000,0.000000
66776756,3531960426570140,163,20007766,001,2023-02-25 23:30:00.000,2023-02-26 00:00:00.000,0.117120,0.000000,0.000000
66776757,3531960426570140,163,20007766,001,2023-02-26 00:00:00.000,2023-02-26 00:30:00.000,0.105680,0.000000,0.000000
66776758,3531960426570140,163,20007766,001,2023-02-26 00:30:00.000,2023-02-26 01:00:00.000,0.096320,0.000000,0.000000
66776759,3531960426570140,163,20007766,001,2023-02-26 01:00:00.000,2023-02-26 01:30:00.000,0.095600,0.000000,0.000000
66776760,3531960426570140,163,20007766,001,2023-02-26 01:30:00.000,2023-02-26 02:00:00.000,0.096560,0.000000,0.000000
66776761,3531960426570140,163,20007766,001,2023-02-26 02:00:00.000,2023-02-26 02:30:00.000,0.093280,0.000000,0.000000
66776762,3531960426570140,163,20007766,001,2023-02-26 02:30:00.000,2023-02-26 03:00:00.000,0.088720,0.000000,0.000000
66776763,3531960426570140,163,20007766,001,2023-02-26 03:00:00.000,2023-02-26 03:30:00.000,0.089200,0.000000,0.000000
66776764,3531960426570140,163,20007766,001,2023-02-26 03:30:00.000,2023-02-26 04:00:00.000,0.094160,0.000000,0.000000
66776765,3531960426570140,163,20007766,001,2023-02-26 04:00:00.000,2023-02-26 04:30:00.000,0.092400,0.000000,0.000000
66776766,3531960426570140,163,20007766,001,2023-02-26 04:30:00.000,2023-02-26 05:00:00.000,0.094880,0.000000,0.000000
66776767,3531960426570140,163,20007766,001,2023-02-26 05:00:00.000,2023-02-26 05:30:00.000,0.146080,0.000000,0.000000
66776768,3531960426570140,163,20007766,001,2023-02-26 05:30:00.000,2023-02-26 06:00:00.000,0.147760,0.000000,0.000000
66776769,3531960426570140,163,20007766,001,2023-02-26 06:00:00.000,2023-02-26 06:30:00.000,0.153120,0.000000,0.000000
66776770,3531960426570140,163,20007766,001,2023-02-26 06:30:00.000,2023-02-26 07:00:00.000,0.203040,0.000000,0.000000
